operation,length,time
naive,100,5.000000
better,100,15.000000
blas,100,0.000000
naive,100,5.000000
better,100,16.000000
blas,100,0.000000
naive,100,4.000000
better,100,59.000000
blas,100,0.000000
naive,100,4.000000
better,100,6.000000
blas,100,0.000000
naive,100,4.000000
better,100,10.000000
blas,100,11.000000
naive,100,5.000000
better,100,24.000000
blas,100,0.000000
naive,100,5.000000
better,100,5.000000
blas,100,0.000000
naive,100,34.000000
better,100,5.000000
blas,100,0.000000
naive,100,18.000000
better,100,4.000000
blas,100,10.000000
naive,100,15.000000
better,100,5.000000
blas,100,0.000000
naive,200,154.000000
better,200,86.000000
blas,200,16.000000
naive,200,123.000000
better,200,117.000000
blas,200,27.000000
naive,200,118.000000
better,200,98.000000
blas,200,28.000000
naive,200,125.000000
better,200,85.000000
blas,200,17.000000
naive,200,111.000000
better,200,65.000000
blas,200,6.000000
naive,200,54.000000
better,200,49.000000
blas,200,6.000000
naive,200,58.000000
better,200,44.000000
blas,200,8.000000
naive,200,55.000000
better,200,46.000000
blas,200,7.000000
naive,200,53.000000
better,200,55.000000
blas,200,8.000000
naive,200,57.000000
better,200,44.000000
blas,200,5.000000
naive,300,532.000000
better,300,270.000000
blas,300,34.000000
naive,300,298.000000
better,300,246.000000
blas,300,26.000000
naive,300,246.000000
better,300,203.000000
blas,300,22.000000
naive,300,254.000000
better,300,154.000000
blas,300,22.000000
naive,300,221.000000
better,300,249.000000
blas,300,22.000000
naive,300,221.000000
better,300,146.000000
blas,300,22.000000
naive,300,230.000000
better,300,161.000000
blas,300,21.000000
naive,300,206.000000
better,300,184.000000
blas,300,39.000000
naive,300,207.000000
better,300,171.000000
blas,300,23.000000
naive,300,207.000000
better,300,152.000000
blas,300,28.000000
naive,400,921.000000
better,400,430.000000
blas,400,55.000000
naive,400,620.000000
better,400,408.000000
blas,400,52.000000
naive,400,590.000000
better,400,373.000000
blas,400,50.000000
naive,400,698.000000
better,400,363.000000
blas,400,51.000000
naive,400,577.000000
better,400,376.000000
blas,400,58.000000
naive,400,612.000000
better,400,360.000000
blas,400,55.000000
naive,400,740.000000
better,400,397.000000
blas,400,63.000000
naive,400,616.000000
better,400,376.000000
blas,400,55.000000
naive,400,630.000000
better,400,372.000000
blas,400,50.000000
naive,400,613.000000
better,400,369.000000
blas,400,61.000000
naive,500,1832.000000
better,500,840.000000
blas,500,134.000000
naive,500,1431.000000
better,500,769.000000
blas,500,180.000000
naive,500,1446.000000
better,500,747.000000
blas,500,118.000000
naive,500,1449.000000
better,500,719.000000
blas,500,132.000000
naive,500,1569.000000
better,500,730.000000
blas,500,115.000000
naive,500,1494.000000
better,500,738.000000
blas,500,109.000000
naive,500,1386.000000
better,500,718.000000
blas,500,139.000000
naive,500,1367.000000
better,500,706.000000
blas,500,122.000000
naive,500,1524.000000
better,500,738.000000
blas,500,118.000000
naive,500,1509.000000
better,500,754.000000
blas,500,109.000000
